2025-01-29 20:22:26,476 - INFO - Use pytorch device_name: cpu
2025-01-29 20:22:26,477 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:24:13,002 - INFO - Loading text file...
2025-01-29 20:24:13,003 - INFO - Chunking text...
2025-01-29 20:24:13,006 - INFO - Computing embeddings...
2025-01-29 20:24:13,007 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:33:04,544 - INFO - Processed chunk 68/69 (Time: 0.42s, Estimated remaining: 0.39s)
2025-01-29 20:33:04,773 - INFO - Processed chunk 69/69 (Time: 0.23s, Estimated remaining: 0.00s)
2025-01-29 20:33:04,773 - INFO - Embedding computation completed in 26.72 seconds
2025-01-29 20:33:04,773 - INFO - Initialization complete
2025-01-29 20:37:24,066 - INFO - Use pytorch device_name: cpu
2025-01-29 20:37:24,066 - INFO - Load pretrained SentenceTransformer: multi-qa-mpnet-base-dot-v1
2025-01-29 20:37:27,076 - INFO - Loading text file...
2025-01-29 20:37:27,076 - INFO - Chunking text...
2025-01-29 20:37:27,078 - INFO - Computing embeddings...
2025-01-29 20:37:27,078 - INFO - Starting embedding computation for 69 chunks
2025-01-29 20:37:27,743 - INFO - Processed chunk 1/69 (Time: 0.67s, Estimated remaining: 45.25s)
2025-01-29 20:37:28,315 - INFO - Processed chunk 2/69 (Time: 0.57s, Estimated remaining: 41.45s)
2025-01-29 20:37:28,946 - INFO - Processed chunk 3/69 (Time: 0.63s, Estimated remaining: 41.09s)
2025-01-29 20:37:29,397 - INFO - Processed chunk 4/69 (Time: 0.45s, Estimated remaining: 37.68s)
2025-01-29 20:37:29,908 - INFO - Processed chunk 5/69 (Time: 0.51s, Estimated remaining: 36.23s)
2025-01-29 20:37:30,285 - INFO - Processed chunk 6/69 (Time: 0.38s, Estimated remaining: 33.67s)
2025-01-29 20:37:30,845 - INFO - Processed chunk 7/69 (Time: 0.56s, Estimated remaining: 33.37s)
2025-01-29 20:37:31,450 - INFO - Processed chunk 8/69 (Time: 0.60s, Estimated remaining: 33.34s)
